YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,22,7,20,53,7.5,10.0,1.24,10.0,4.48,999,1016.5,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,7,50,53,7.8,9.9,1.24,3.85,4.43,999,1016.3,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,8,20,63,8.1,10.4,1.18,4.35,4.38,999,1016.2,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,8,50,61,7.6,9.1,1.21,4.35,4.49,999,1016.2,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,9,20,56,7.7,9.4,1.17,9.09,4.43,999,1016.3,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,9,50,54,7.6,9.0,1.15,10.0,4.47,999,1016.8,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,10,20,52,7.6,10.4,1.08,4.35,4.28,999,1016.9,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,10,50,51,9.1,10.8,1.26,4.35,4.39,999,1017.2,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,11,20,55,8.2,10.0,99.0,99.0,99.0,999,1017.8,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,11,50,57,7.6,9.3,1.28,4.76,4.33,999,1018.2,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,12,20,50,7.1,9.0,1.28,4.76,4.46,999,1018.5,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,12,50,63,8.2,9.6,1.31,4.76,4.45,999,1018.7,25.4,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,13,50,59,8.0,10.0,1.34,4.76,4.35,999,1019.1,25.4,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,14,20,60,7.0,8.8,1.44,4.76,4.45,999,1019.2,25.4,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,14,50,55,6.6,8.6,1.34,9.09,4.54,999,1019.2,25.6,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,15,20,49,8.2,10.0,1.29,4.76,4.41,999,1019.1,25.4,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,15,50,49,7.9,9.5,1.34,5.0,4.33,999,1018.9,25.5,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,16,20,45,7.5,9.1,1.26,4.55,4.32,999,1018.7,25.5,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,16,50,47,7.3,8.7,1.33,4.76,4.46,999,1018.4,25.4,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,17,20,59,7.3,8.9,1.27,4.76,4.47,999,1018.1,25.4,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,17,50,55,8.0,10.1,99.0,99.0,99.0,999,1017.6,25.5,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,18,20,53,8.9,11.0,1.48,4.55,4.48,999,1017.3,25.3,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,18,50,55,8.6,10.0,1.47,4.76,4.49,999,1017.0,25.3,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,19,20,46,9.7,11.2,1.48,4.76,4.38,999,1016.8,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,19,50,45,9.7,11.2,1.49,5.26,4.47,999,1016.8,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,20,20,54,9.5,11.2,1.61,5.56,4.47,999,1016.8,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,20,50,50,7.9,10.0,1.73,5.26,4.67,999,1017.0,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,21,20,56,8.7,10.4,1.58,5.26,4.52,999,1016.9,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,21,50,64,8.9,11.6,99.0,99.0,99.0,999,1017.1,25.2,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,22,20,64,8.4,10.4,1.46,4.76,4.44,999,1017.2,25.3,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,22,50,56,8.3,99.0,99.0,99.0,99.0,999,1017.5,25.1,27.7,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,23,20,56,8.6,10.3,1.52,5.26,4.46,999,1017.6,25.1,27.6,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,23,50,57,8.6,10.2,1.5,4.76,4.53,999,1017.9,25.2,27.6,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,0,20,59,8.7,10.4,1.51,5.0,4.53,999,1018.2,25.2,27.6,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,0,50,65,8.3,9.7,1.54,5.88,4.6,999,1018.3,25.2,27.6,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,1,20,60,9.1,10.9,99.0,99.0,99.0,999,1018.4,25.3,27.6,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,1,50,64,9.1,12.1,99.0,99.0,99.0,999,1018.6,25.2,27.6,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,2,20,63,9.3,11.7,1.62,5.56,4.6,999,1018.7,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,2,50,57,9.2,11.2,1.64,5.88,4.59,999,1018.6,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,3,20,57,8.8,10.8,1.79,5.0,4.72,999,1018.5,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,3,50,53,9.2,10.7,1.69,5.26,4.62,999,1018.3,24.9,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,4,20,61,7.9,10.0,1.74,5.26,4.7,999,1018.2,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,4,50,60,8.4,10.9,1.72,5.88,4.77,999,1017.9,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,5,20,69,7.9,9.5,99.0,99.0,99.0,999,1017.9,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,5,50,65,9.0,10.6,1.76,5.56,4.69,999,1017.6,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,6,20,62,8.8,10.7,1.61,5.26,4.58,999,1017.4,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,6,50,62,8.1,10.2,1.62,6.25,4.64,999,1017.2,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,7,20,61,8.4,10.5,1.58,7.69,4.81,999,1017.0,24.9,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,7,50,66,8.1,11.5,1.6,5.88,4.77,999,1016.8,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,8,20,63,8.4,10.3,1.68,6.25,4.86,999,1016.5,24.9,27.4,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,8,50,68,8.3,10.4,1.7,6.25,4.8,999,1016.4,24.9,27.4,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,9,20,66,9.2,10.7,1.72,5.88,4.85,999,1016.5,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,9,50,63,9.3,11.5,1.66,6.25,4.76,999,1016.8,25.0,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,10,20,65,9.0,11.4,1.81,6.25,4.86,999,1017.1,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,10,50,63,9.1,11.1,1.78,5.88,4.66,999,1017.3,25.3,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,11,20,65,8.7,10.0,1.68,5.56,4.74,999,1017.3,25.2,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,11,50,62,9.1,11.2,1.87,6.25,4.99,999,1017.5,25.1,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,12,20,68,8.7,10.4,1.76,6.25,4.83,999,1017.6,25.3,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,12,50,68,8.9,10.8,1.86,6.25,4.94,999,1017.6,25.4,27.5,999.0,99.0,99.0,41010,28.878,-78.467
